key,en,vi
manageBooksFilterNone,No Date Filter,Tất cả
manageBooksFilterDate,Date,Ngày
manageBooksFilterMonth,Month,Tháng
manageBooksFilterQuarter,Quarter,Quý
manageBooksFilterYear,Year,Năm
bookTimeDateMonthYearOption,Date Month Year (DD/MM/YYYY),Ngày
bookTimeMonthYearOption,Month Year (MM/YYYY),Tháng
bookTimeQuarterYearOption,Quarter Year (Q/YYYY),Quý
bookTimeYearOption,Year (YYYY),Năm
books,books,Chứng Từ
dashboard,Dashboard,Bảng điều khiển
manageBooksTitle,Manage Books,Quản lý Chứng Từ
manageBooksFilterStatus,Status,Trạng thái
manageBooksFilterTime,Time,Thời gian
manageBooksStatusBorrowing,Borrowed Books,Đang mượn
manageBooksStatusStorage,In Storage,Trong kho Lưu Trữ
manageBooksStatusLibrary,In Library,Trong kho Chứng Từ
dashboardTotalLibraries,Libraries,Kho Chứng Từ
dashboardManageLibraries,Manage Libraries,Quản lý Kho Chứng Từ
dashboardManageBooks,Manage Books,Quản lý chứng từ
dashboardManageUsers,Manage Users,Quản lý người mượn
navNoBookshelves,No bookshelves,Không có Giá Chứng Từ
library,Library,Kho Chứng Từ
bookshelf,Bookshelf,Giá Chứng Từ
shelf,Shelf,Ngăn
allLibraries,All Libraries,Tất cả kho Chứng Từ
addLibrary,Add Library,Thêm kho Chứng Từ
addBookshelf,Add Bookshelf,Thêm giá Chứng Từ
addShelf,Add Shelf,Thêm ngăn
addBook,Add Book,Thêm Chứng Từ
addUser,Add User,Thêm người dùng
bookName,Book Name,Tên Chứng Từ
author,Author,Phòng
selectAuthor,Select Author,Chọn Phòng ban
createNewAuthorDepartment,Create New Author,Tạo phòng ban mới
isbn,ISBN,ISBN
quantity,Quantity,Số lượng
search,Search,Tìm kiếm
delete,Delete,Xóa
edit,Edit,Chỉnh sửa
save,Save,Lưu
cancel,Cancel,Hủy
confirm,Confirm,Xác nhận
close,Close,Đóng
borrow,Borrow,Mượn
return,Return,Trả
borrowBook,Borrow Book,Mượn Chứng Từ
returnBook,Return Book,Trả Chứng Từ
userName,User Name,Tên người dùng
email,Email,Email
phone,Phone,Điện thoại
address,Address,Địa chỉ
borrowedBooks,Borrowed Books,Chứng Từ đã mượn
returnedBooks,Returned Books,Chứng Từ đã trả
shelfName,Shelf Name,Tên ngăn
bookshelfName,Bookshelf Name,Tên giá Chứng Từ
libraryName,Library Name,Tên kho Chứng Từ
toggleNavPane,Toggle Navigation,Bật/tắt điều hướng
hideNavPane,Hide Navigation,Ẩn điều hướng
showNavPane,Show Navigation,Hiển thị điều hướng
resetView,Reset View,Đặt lại chế độ xem
loading,Loading...,Đang tải...
error,Error,Lỗi
success,Success,Thành công
noData,No data available,Không có dữ liệu
selectLibrary,Select a library,Chọn một kho Chứng Từ
selectBookshelf,Select a bookshelf,Chọn một giá Chứng Từ
selectShelf,Select a shelf,Chọn một ngăn
moveBook,Move Book,Di chuyển Chứng Từ
fromShelf,From Shelf,Từ ngăn
toShelf,To Shelf,Tới ngăn
moveSuccess,Book moved successfully,Chứng Từ đã được di chuyển thành công
borrowSuccess,Book borrowed successfully,Mượn Chứng Từ thành công
returnSuccess,Book returned successfully,Trả Chứng Từ thành công
deleteSuccess,Deleted successfully,Xóa thành công
createdSuccess,Created successfully,Tạo thành công
updatedSuccess,Updated successfully,Cập nhật thành công
failedToLoad,Failed to load data,Không thể tải dữ liệu
failedToCreate,Failed to create,Không thể tạo
failedToDelete,Failed to delete,Không thể xóa
failedToUpdate,Failed to update,Không thể cập nhật
confirmation,Are you sure?,Bạn có chắc không?
deleteConfirmation,Are you sure you want to delete this?,Bạn có chắc chắn muốn xóa điều này không?
language,Language,Ngôn ngữ
english,English,English
vietnamese,Tiếng Việt,Tiếng Việt
goBackToDashboard,Go back to dashboard,Quay lại bảng điều khiển
